Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts
2/1/2018,403.8,390.55,393.65,7259426,28909.06969,30199
2/2/2018,397.4,381.3,383.75,10070356,39126.36188,36192
2/5/2018,398,380,395.8,9876017,38730.63195,47989
2/6/2018,379.85,356.5,375.45,25294860,93934.02167,72682
2/7/2018,385.4,375.2,377.8,12706795,48375.13603,37400
2/8/2018,380,372.2,374.85,12452396,46812.88947,29522
2/9/2018,373.2,368,368.75,8816777,32630.53462,25511
2/12/2018,376.2,370.2,371.8,6002369,22374.11372,29370
2/14/2018,382.3,370.6,376.85,9623436,36202.03222,42676
2/15/2018,382.2,373.1,375.8,10225880,38761.88479,33388
2/16/2018,379.4,367.6,370.75,8545282,31852.39737,38212
2/19/2018,374.7,362.8,368.75,5658765,20844.66061,31379
2/20/2018,370.9,366.5,369.3,3972114,14651.94017,36520
2/21/2018,372.5,362.85,364.45,8640166,31557.37968,47408
2/22/2018,363,357.5,358.5,10870704,39071.71384,62603
2/23/2018,364.6,358.75,360.2,6751064,24405.80127,20518
2/26/2018,373.5,362,372.05,10576794,39174.79403,29175
2/27/2018,376.6,370.35,372.55,6156672,22958.73628,19416
2/28/2018,373.65,367.15,369.9,8009429,29673.33393,20388
3/1/2018,376.3,369.05,370.75,6991806,26086.60988,23676
3/5/2018,368.75,350.1,352.05,14665325,52224.83012,42880
3/6/2018,357.95,345,346.5,8876632,31257.71666,32526
3/7/2018,355.3,343.25,347.8,15599393,54589.9893,39456
3/8/2018,351.9,341.05,345.15,7674221,26475.60295,25252
3/9/2018,348.7,340.15,341.5,5519224,19003.03318,17666
3/12/2018,353.8,340.35,352.6,8238960,28590.52951,27292
3/13/2018,356.45,350,353.15,6184241,21876.00761,22484
3/14/2018,354.9,349.6,354.05,3820313,13450.56807,14070
3/15/2018,358.4,351.1,353.1,4331145,15336.9213,18734
3/16/2018,352.6,338.4,339.75,14205582,48669.87581,31703
3/19/2018,342.1,332.55,335.7,9391347,31622.55453,29672
3/20/2018,340.4,333.55,338.8,5080453,17175.16589,20907
3/21/2018,342.25,332.25,333.85,6812442,22932.60147,29811
3/22/2018,340.25,334.8,338.2,9255091,31282.60792,27258
3/23/2018,334.8,329.6,330.85,8578297,28464.11466,28554
3/26/2018,333.9,324.3,332.35,8907023,29281.90067,48205
3/27/2018,335.8,330.1,331.15,6822448,22705.7664,44608
3/28/2018,333.65,325.2,326.85,10975624,36159.65434,67702
4/2/2018,340.8,332.7,339.15,9874486,33219.29388,29517
4/3/2018,344.5,337.15,343.1,6989584,23911.98986,25508
4/4/2018,363.7,346.25,355.6,27157199,97300.31286,90154
4/5/2018,372.35,359.8,362.2,28886070,105983.1495,70629
4/6/2018,368.35,356.45,364.1,13297051,48287.23402,41802
4/9/2018,368.6,357,358.3,9555113,34522.54847,37193
4/10/2018,362.35,351.5,353.25,8201215,29128.4363,33072
4/11/2018,357.15,350.5,355.8,5622957,19906.01953,26283
4/12/2018,364.4,357,358.4,13145938,47327.16743,38635
4/13/2018,361,354.4,357.05,5935628,21207.70159,25393
4/16/2018,352.8,337.55,339.15,19157051,65586.71675,60941
4/17/2018,344.2,332.6,336.45,14241074,48059.90322,45206
4/18/2018,339.75,333.4,334.8,6699271,22563.71368,24302
4/19/2018,337,332.5,334.25,7087115,23711.29886,23296
4/20/2018,343.25,334.6,336,11908652,40350.86525,39289
4/23/2018,339.5,333,334.05,8056732,27070.28957,42264
4/24/2018,335,330.6,331.55,9210931,30648.55395,41393
4/25/2018,334,327.75,328.6,6306039,20832.29494,52928
4/26/2018,335.95,326,330.25,16647689,55128.14536,83428
4/27/2018,337.65,331.05,336.9,8804236,29451.38109,24814
4/30/2018,342.75,337.25,340.4,5937740,20205.99582,23457
5/2/2018,351.65,335,336.05,16022148,54934.49826,48107
5/3/2018,335.9,329.15,333.5,6870513,22809.91176,23529
5/4/2018,337.3,329.5,334.4,6660062,22188.98653,27457
5/7/2018,337.85,333.7,335.15,3888627,13041.36922,14229
5/8/2018,336.6,330.25,332.15,8114997,26954.75429,17932
5/9/2018,347.25,331,341.95,19019847,64991.1835,55911
5/10/2018,343.75,332.75,333.6,11158000,37568.79889,34792
5/11/2018,334,330,330.8,7365579,24430.0811,26245
5/14/2018,333,323,323.6,8312976,27075.09904,28928
5/15/2018,324.05,305.7,310.1,15323964,48269.23268,56047
5/16/2018,315.75,306.7,310.25,12051269,37503.97571,34270
5/17/2018,319.5,309.3,314.9,10214660,32201.3872,33242
5/18/2018,315,303.5,304.6,11688577,35896.33648,32808
5/21/2018,307.2,294.7,295.9,11549490,34556.95179,42977
5/22/2018,312.5,296.55,307.7,17199292,52456.49679,72629
5/23/2018,317.25,305.4,309.45,17698475,55261.28618,72100
5/24/2018,307.65,284.1,288.65,46104103,134324.7475,159220
5/25/2018,297.45,286.25,294.15,19240172,56420.88163,64033
5/28/2018,299.9,290.3,296.3,8516862,25261.72398,52359
5/29/2018,300,293,294.65,9816561,29228.52439,63876
5/30/2018,292.25,286.15,288.9,11649429,33773.0235,74553
5/31/2018,290.85,281.6,282.5,28771987,81740.41459,94892
6/1/2018,290.35,283.05,287.2,15840810,45584.79297,50521
6/4/2018,293.85,286,286.65,10835487,31372.65392,35200
6/5/2018,288.25,283.6,284.95,7456195,21276.05687,28486
6/6/2018,296.9,285.25,295.65,19754001,57693.25692,59917
6/7/2018,306.9,295.25,305.4,22839023,68810.07435,71472
6/8/2018,315.55,302.4,309.95,27249374,84836.16458,76871
6/11/2018,313.9,306.65,309.75,14650133,45547.37622,47681
6/12/2018,313.65,307.2,307.8,7932388,24631.06957,29671
6/13/2018,311.25,307,308.4,7280886,22520.73345,30034
6/14/2018,309.6,303.8,305.9,6532693,19974.17558,27843
6/15/2018,307.65,300.55,302.95,8224497,25000.27887,28545
6/18/2018,311,302.1,308.8,8787098,27058.15364,38696
6/19/2018,312.8,303.3,305.05,10498362,32297.62608,40695
6/20/2018,308.25,304.05,305.6,6607472,20216.18633,24241
6/21/2018,308.5,305.5,307,5085379,15610.77345,26367
6/22/2018,308.9,303.2,308,6033095,18506.58033,39503
6/25/2018,306.3,287.6,289.4,16392183,48398.38511,90496
6/26/2018,288.4,275.1,276.85,30728620,86003.6704,113319
6/27/2018,279.5,270,271.05,19077416,52397.79926,86124
6/28/2018,272.65,261.85,263.35,19507165,52073.5775,107754
6/29/2018,270.5,262.65,269.3,14765516,39500.91911,44140
7/2/2018,276.05,265.6,266.7,16495647,44466.97752,49561
7/3/2018,271.5,267.2,269.45,11484332,30967.50524,34767
7/4/2018,271.5,265.65,267.05,7394858,19817.06497,30850
7/5/2018,263.75,252.55,261.55,20820454,54019.6465,68852
7/6/2018,272.5,261.85,270.85,19215897,51925.07548,52977
7/9/2018,277,272.05,273.5,9387556,25795.04842,33959
7/10/2018,276.9,272.9,275.45,6351033,17477.87026,23585
7/11/2018,276.4,267.1,267.8,7356582,19888.33726,30312
7/12/2018,272,265.5,266.1,8573517,23002.76551,34746
7/13/2018,269.4,262.7,263.6,8352827,22210.27465,34211
7/16/2018,260.8,250.5,252.1,11067012,28290.11066,55819
7/17/2018,259,252.3,257.95,6350966,16293.54597,37398
7/18/2018,259.45,247.3,251.85,9348644,23615.21357,52646
7/19/2018,257.85,251.2,252.5,9556686,24325.57836,40383
7/20/2018,254,251,253.4,6422014,16231.02951,31549
7/23/2018,259.5,251.1,258.75,8891743,22751.45756,52154
7/24/2018,263.75,257.1,258.8,9906160,25776.77193,55085
7/25/2018,261.7,256.1,257.85,6721386,17374.16472,63326
7/26/2018,263,257.5,258.25,8817721,22929.42888,80541
7/27/2018,269.7,258.55,268.15,15275469,40661.60566,44866
